date,tvl_usd,symbol,fee_tier,project_contract_address
2022-09-30,60723648,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-10-01,61039441,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-10-02,60716330,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-10-03,63511734,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-10-04,64616343,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-10-05,64916793,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-10-06,67055482,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-10-07,67011248,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-10-08,66340275,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-10-09,66591527,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-10-10,65591913,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-10-11,65057307,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-10-12,65788344,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-10-13,65621033,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-10-14,65968925,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-10-15,65150920,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-10-16,66354509,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-10-17,66919178,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-10-18,66484092,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-10-19,65610367,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-10-20,64841372,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-10-21,65478946,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-10-22,65830702,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-10-23,66940075,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-10-24,66637905,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-10-25,69439940,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-10-26,72299237,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-10-27,77920674,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-10-28,79207396,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-10-29,79958607,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-10-30,79538718,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-10-31,79070591,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-11-01,79709985,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-11-02,77480470,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-11-03,76160175,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-11-04,78841466,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-11-05,78355870,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
