week,venue,size_bucket,project_contract_address,swap_count,total_volume_usd,total_token_bought,total_token_sold
2025-08-04 00:00:00.000 UTC,sushiv2_ethusdt,0.5k-1k,0x06da0fd433c1a5d7a4faa01111c044910a184553,265,182873.06760349713,75101.56999033973,108152.92916548553
2025-08-04 00:00:00.000 UTC,sushiv2_ethusdt,10k-100k,0x06da0fd433c1a5d7a4faa01111c044910a184553,4,101972.45185828485,49470.900930474614,50078.26125145174
2025-08-04 00:00:00.000 UTC,sushiv2_ethusdt,1k-10k,0x06da0fd433c1a5d7a4faa01111c044910a184553,105,167017.10966558394,63779.08969575153,103819.30965639085
2025-08-04 00:00:00.000 UTC,sushiv2_usdceth,0.5k-1k,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,349,253484.05511872814,113984.51203089948,139992.30137800117
2025-08-04 00:00:00.000 UTC,sushiv2_usdceth,10k-100k,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,1,11710.014954207545,3.155598270542365,11845.782557
2025-08-04 00:00:00.000 UTC,sushiv2_usdceth,1k-10k,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,219,365478.709316545,145220.19829997228,221496.493095293
2025-08-04 00:00:00.000 UTC,uniswap_v3_0.01_ethusdc,0.5k-1k,0xe0554a476a092703abdb3ef35c80e0d76d32939f,9841,7145004.042100976,4184338.3710196167,2962419.9215783393
2025-08-04 00:00:00.000 UTC,uniswap_v3_0.01_ethusdc,100k+,0xe0554a476a092703abdb3ef35c80e0d76d32939f,1125,454469888.8973003,227498475.04899713,228162328.6413327
2025-08-04 00:00:00.000 UTC,uniswap_v3_0.01_ethusdc,10k-100k,0xe0554a476a092703abdb3ef35c80e0d76d32939f,13570,269309241.05478793,127477757.99747826,142080496.68689805
2025-08-04 00:00:00.000 UTC,uniswap_v3_0.01_ethusdc,1k-10k,0xe0554a476a092703abdb3ef35c80e0d76d32939f,38056,162292476.61526987,85850775.40101251,76548500.03382953
2025-08-04 00:00:00.000 UTC,uniswap_v3_0.01_ethusdt,0.5k-1k,0xc7bbec68d12a0d1830360f8ec58fa599ba1b0e9b,8726,6426976.747671403,3883376.846100843,2544555.0321400757
