week,venue,size_bucket,swap_count,total_volume_usd,total_token_bought,total_token_sold
2025-07-28 00:00:00.000 UTC,uniswap_v3_0.01_ethusdt,10k-100k,13455,271130784.9642598,134527200.48689377,136733127.2138254
2025-07-28 00:00:00.000 UTC,uniswap_v3_0.01_ethusdt,1k-10k,35177,147431288.88084757,75713204.16162449,71770132.40480699
2025-07-28 00:00:00.000 UTC,uniswap_v3_0.05_ethusdc,0.5k-1k,2699,1945655.8736601695,974888.8342830117,971015.0016840354
2025-07-28 00:00:00.000 UTC,uniswap_v3_0.05_ethusdc,100k+,917,167162347.17472696,90617686.95327559,76543240.02697927
2025-07-28 00:00:00.000 UTC,uniswap_v3_0.05_ethusdc,10k-100k,12562,421311935.33015954,208526783.4084869,213068846.0899502
2025-07-28 00:00:00.000 UTC,uniswap_v3_0.05_ethusdc,1k-10k,8248,35561383.04525335,18466102.883989733,17105448.089860637
2025-07-28 00:00:00.000 UTC,uniswap_v3_0.05_ethusdt,0.5k-1k,1353,990744.9278508001,418686.2192372944,572104.5770428686
2025-07-28 00:00:00.000 UTC,uniswap_v3_0.05_ethusdt,100k+,1462,266779070.5976295,142830170.85493976,124066104.9320082
2025-07-28 00:00:00.000 UTC,uniswap_v3_0.05_ethusdt,10k-100k,12959,476418851.2425458,236729201.58260664,240037729.8924217
2025-07-28 00:00:00.000 UTC,uniswap_v3_0.05_ethusdt,1k-10k,5308,25453635.217906408,13182618.850807507,12278785.901929308
2025-07-28 00:00:00.000 UTC,uniswap_v3_0.3_ethusdc,0.5k-1k,92,66780.60297669162,27236.50480351629,39647.28273904606
2025-07-28 00:00:00.000 UTC,uniswap_v3_0.3_ethusdc,100k+,27,5389412.718145307,3679464.8135970063,1703659.3904855219
2025-07-28 00:00:00.000 UTC,uniswap_v3_0.3_ethusdc,10k-100k,1493,37843576.20787575,20614356.09134791,17282376.171473134
2025-07-28 00:00:00.000 UTC,uniswap_v3_0.3_ethusdc,1k-10k,1112,6331030.007867621,2470436.807189915,3869691.6169277523
2025-07-28 00:00:00.000 UTC,uniswap_v3_0.3_ethusdt,0.5k-1k,221,154428.5623091828,73048.3111546105,81617.57551564352
2025-07-28 00:00:00.000 UTC,uniswap_v3_0.3_ethusdt,100k+,904,205149367.36254618,119296997.52516732,86143818.81280768
2025-07-28 00:00:00.000 UTC,uniswap_v3_0.3_ethusdt,10k-100k,2216,99404342.34835662,44574957.7567889,54984631.0285852
2025-07-28 00:00:00.000 UTC,uniswap_v3_0.3_ethusdt,1k-10k,561,2429566.8677526596,1112613.9097962806,1320043.550736747
2025-07-28 00:00:00.000 UTC,uniswap_v3_1.0_ethusdc,0.5k-1k,79,56589.40628107759,41703.70927781812,14947.401584526195
2025-07-28 00:00:00.000 UTC,uniswap_v3_1.0_ethusdc,1k-10k,26,33761.012031222854,30447.083814068275,3331.1406695643786
2025-08-04 00:00:00.000 UTC,curve_usdcwbtcweth,0.5k-1k,236,188852.4447119822,69076.87425111514,95684.31643774243
2025-08-04 00:00:00.000 UTC,curve_usdcwbtcweth,100k+,2,231297.67471637152,119271.84831657047,111054.521182
2025-08-04 00:00:00.000 UTC,curve_usdcwbtcweth,10k-100k,300,5960110.427235648,2486744.5315701733,2468960.584861768
2025-08-04 00:00:00.000 UTC,curve_usdcwbtcweth,1k-10k,3422,12587621.615137307,4785584.122188608,5366761.5179631105
2025-08-04 00:00:00.000 UTC,curve_usdt,0.5k-1k,26,19024.504582460686,7125.317306249886,9740.000465790672
2025-08-04 00:00:00.000 UTC,curve_usdt,10k-100k,215,4475264.859885797,1718947.7110405334,2089763.0843181973
2025-08-04 00:00:00.000 UTC,curve_usdt,1k-10k,720,3494776.347428129,1117030.3007711743,1594928.1002746588
2025-08-04 00:00:00.000 UTC,curve_usdtwbtcweth,0.5k-1k,80,60171.17717642041,28758.897454098915,21201.54726839015
2025-08-04 00:00:00.000 UTC,curve_usdtwbtcweth,10k-100k,163,2670556.1761017437,1153378.9870874756,1204303.3398663255
2025-08-04 00:00:00.000 UTC,curve_usdtwbtcweth,1k-10k,3014,10353596.169854071,3727171.177191561,4199949.655630214
2025-08-04 00:00:00.000 UTC,sushiv2_ethusdt,0.5k-1k,265,182873.06760349713,75101.56999033973,108152.92916548553
2025-08-04 00:00:00.000 UTC,sushiv2_ethusdt,10k-100k,4,101972.45185828485,49470.900930474614,50078.26125145174
2025-08-04 00:00:00.000 UTC,sushiv2_ethusdt,1k-10k,105,167017.10966558394,63779.08969575153,103819.30965639085
2025-08-04 00:00:00.000 UTC,sushiv2_usdceth,0.5k-1k,349,253484.05511872814,113984.51203089948,139992.30137800117
2025-08-04 00:00:00.000 UTC,sushiv2_usdceth,10k-100k,1,11710.014954207545,3.155598270542365,11845.782557
2025-08-04 00:00:00.000 UTC,sushiv2_usdceth,1k-10k,219,365478.709316545,145220.19829997228,221496.493095293
2025-08-04 00:00:00.000 UTC,uniswap_v3_0.01_ethusdc,0.5k-1k,9841,7145004.042100975,4184338.3710196167,2962419.921578339
2025-08-04 00:00:00.000 UTC,uniswap_v3_0.01_ethusdc,100k+,1125,454469888.89730024,227498475.0489971,228162328.64133263
2025-08-04 00:00:00.000 UTC,uniswap_v3_0.01_ethusdc,10k-100k,13570,269309241.0547879,127477757.99747826,142080496.68689805
2025-08-04 00:00:00.000 UTC,uniswap_v3_0.01_ethusdc,1k-10k,38056,162292476.61526987,85850775.40101251,76548500.03382953
2025-08-04 00:00:00.000 UTC,uniswap_v3_0.01_ethusdt,0.5k-1k,8726,6426976.747671402,3883376.8461008426,2544555.0321400757
2025-08-04 00:00:00.000 UTC,uniswap_v3_0.01_ethusdt,100k+,1302,478716212.7489492,239528098.350496,237657294.03810838
2025-08-04 00:00:00.000 UTC,uniswap_v3_0.01_ethusdt,10k-100k,11749,227562430.3059711,107984074.85845718,119760334.87960838
2025-08-04 00:00:00.000 UTC,uniswap_v3_0.01_ethusdt,1k-10k,37991,164294190.65060997,84981876.32955934,79396329.62663485
2025-08-04 00:00:00.000 UTC,uniswap_v3_0.05_ethusdc,0.5k-1k,2765,1972846.1915228528,1147054.417023633,826959.6082457647
2025-08-04 00:00:00.000 UTC,uniswap_v3_0.05_ethusdc,100k+,532,103403557.42786823,51575046.78694615,51991617.329770334
2025-08-04 00:00:00.000 UTC,uniswap_v3_0.05_ethusdc,10k-100k,11126,302434839.04840916,144661157.42679513,158089206.57145193
2025-08-04 00:00:00.000 UTC,uniswap_v3_0.05_ethusdc,1k-10k,9751,43993770.30450509,24062196.65455781,19967501.892199785
2025-08-04 00:00:00.000 UTC,uniswap_v3_0.05_ethusdt,0.5k-1k,1738,1257136.4466963524,650500.076087748,607202.5135208596
2025-08-04 00:00:00.000 UTC,uniswap_v3_0.05_ethusdt,100k+,1620,348241213.03598905,175932788.862547,172452932.17252654
2025-08-04 00:00:00.000 UTC,uniswap_v3_0.05_ethusdt,10k-100k,13529,477726778.1882901,229321924.31443122,248766846.8865072
2025-08-04 00:00:00.000 UTC,uniswap_v3_0.05_ethusdt,1k-10k,6685,31655726.619654156,17364089.441575736,14311216.974208642
2025-08-04 00:00:00.000 UTC,uniswap_v3_0.3_ethusdc,0.5k-1k,72,53197.88437701762,29664.990635736474,23618.351509907367
2025-08-04 00:00:00.000 UTC,uniswap_v3_0.3_ethusdc,100k+,32,6445774.173538519,2771881.8985879296,3701514.8361000363
2025-08-04 00:00:00.000 UTC,uniswap_v3_0.3_ethusdc,10k-100k,998,25437529.908880703,10597957.434676379,14902258.217831945
2025-08-04 00:00:00.000 UTC,uniswap_v3_0.3_ethusdc,1k-10k,1039,5842762.666836694,2425559.241825587,3427694.041771694
2025-08-04 00:00:00.000 UTC,uniswap_v3_0.3_ethusdt,0.5k-1k,167,115696.92105653298,51968.18744612742,63957.43600394308
2025-08-04 00:00:00.000 UTC,uniswap_v3_0.3_ethusdt,100k+,706,189624021.9469993,86613089.08791003,103477775.82450853
2025-08-04 00:00:00.000 UTC,uniswap_v3_0.3_ethusdt,10k-100k,2032,90059472.84668198,35392627.41859917,54833894.752642274
2025-08-04 00:00:00.000 UTC,uniswap_v3_0.3_ethusdt,1k-10k,468,2235642.1954072393,1064675.351386689,1174018.588936505
2025-08-04 00:00:00.000 UTC,uniswap_v3_1.0_ethusdc,0.5k-1k,67,47877.99623938469,10556.564105830406,37508.614104157496
2025-08-04 00:00:00.000 UTC,uniswap_v3_1.0_ethusdc,1k-10k,34,50452.48224537511,7417.128540208799,43317.47198633405
2025-08-11 00:00:00.000 UTC,curve_usdcwbtcweth,0.5k-1k,284,219254.11703722266,80741.95186931257,109901.31400565125
2025-08-11 00:00:00.000 UTC,curve_usdcwbtcweth,100k+,3,563144.3391430115,100181.13918485919,78.31223738057585
2025-08-11 00:00:00.000 UTC,curve_usdcwbtcweth,10k-100k,902,16886368.075136714,7099804.976648065,6567380.560066249
2025-08-11 00:00:00.000 UTC,curve_usdcwbtcweth,1k-10k,5225,22768610.45600241,8735199.88054944,9370154.830227474
2025-08-11 00:00:00.000 UTC,curve_usdt,0.5k-1k,21,15721.441200098468,6923.595725047522,7917.866288603139
2025-08-11 00:00:00.000 UTC,curve_usdt,100k+,1,109131.55813830112,25.54284694365607,111171.060312
2025-08-11 00:00:00.000 UTC,curve_usdt,10k-100k,338,7049235.405175511,3048017.335742995,2845419.4541353234
2025-08-11 00:00:00.000 UTC,curve_usdt,1k-10k,827,4295200.758375249,1626943.9175807755,1842891.7022504662
2025-08-11 00:00:00.000 UTC,curve_usdtwbtcweth,0.5k-1k,71,53663.96858771926,21755.68727248431,22452.016008979812
2025-08-11 00:00:00.000 UTC,curve_usdtwbtcweth,100k+,1,129667.73424259071,129743.37463,1.08849223
2025-08-11 00:00:00.000 UTC,curve_usdtwbtcweth,10k-100k,305,4994333.615314908,2030207.0252789685,2054968.5772903997
2025-08-11 00:00:00.000 UTC,curve_usdtwbtcweth,1k-10k,3519,13765958.564509388,5320395.354714452,5432308.416889783
2025-08-11 00:00:00.000 UTC,sushiv2_ethusdt,0.5k-1k,329,233806.57258562619,118875.45065411364,115252.35693262929
2025-08-11 00:00:00.000 UTC,sushiv2_ethusdt,10k-100k,2,31751.46876636945,16746.201675773435,15024.90853792642
2025-08-11 00:00:00.000 UTC,sushiv2_ethusdt,1k-10k,247,418478.9549354096,195825.881961702,223674.64523062474
2025-08-11 00:00:00.000 UTC,sushiv2_usdceth,0.5k-1k,389,284649.8901946448,127900.40265885848,157293.085511183
2025-08-11 00:00:00.000 UTC,sushiv2_usdceth,1k-10k,416,803276.9646119565,415551.4453989018,389661.0994198246
2025-08-11 00:00:00.000 UTC,uniswap_v3_0.01_ethusdc,0.5k-1k,8374,6140126.690860287,3569398.2109041642,2572951.5846169
2025-08-11 00:00:00.000 UTC,uniswap_v3_0.01_ethusdc,100k+,1288,469275914.4228319,234118242.77277762,233897672.54471827
2025-08-11 00:00:00.000 UTC,uniswap_v3_0.01_ethusdc,10k-100k,17780,387529170.2636211,186767901.0220628,201140954.95992154
2025-08-11 00:00:00.000 UTC,uniswap_v3_0.01_ethusdc,1k-10k,36660,163334752.52643907,87330572.65617417,76105307.99362732
2025-08-11 00:00:00.000 UTC,uniswap_v3_0.01_ethusdt,0.5k-1k,7868,5806803.518138456,3555062.9322183123,2251842.302190046
2025-08-11 00:00:00.000 UTC,uniswap_v3_0.01_ethusdt,100k+,1608,629977390.1854442,313457025.658658,312027720.6082244
2025-08-11 00:00:00.000 UTC,uniswap_v3_0.01_ethusdt,10k-100k,18506,396166488.66291785,190331636.8349789,206063067.508765
2025-08-11 00:00:00.000 UTC,uniswap_v3_0.01_ethusdt,1k-10k,37623,167313417.728491,90138865.16904801,77210591.30722815
2025-08-11 00:00:00.000 UTC,uniswap_v3_0.05_ethusdc,0.5k-1k,2877,2056363.4452335269,1179930.4342312028,877633.7998218843
2025-08-11 00:00:00.000 UTC,uniswap_v3_0.05_ethusdc,100k+,2021,578712683.6368527,296799469.36516535,282077541.2274681
2025-08-11 00:00:00.000 UTC,uniswap_v3_0.05_ethusdc,10k-100k,15952,518227606.3562873,250735614.74285358,267957332.84021258
2025-08-11 00:00:00.000 UTC,uniswap_v3_0.05_ethusdc,1k-10k,9273,41864881.70264813,22488492.886877835,19405769.015487313
2025-08-11 00:00:00.000 UTC,uniswap_v3_0.05_ethusdt,0.5k-1k,1419,1048747.8833563249,548815.88319006,500086.6848645918
2025-08-11 00:00:00.000 UTC,uniswap_v3_0.05_ethusdt,100k+,705,149719497.78734258,77995076.28707471,71733948.7801498
2025-08-11 00:00:00.000 UTC,uniswap_v3_0.05_ethusdt,10k-100k,10890,319859911.7727463,157234563.75108594,162871565.4541186
2025-08-11 00:00:00.000 UTC,uniswap_v3_0.05_ethusdt,1k-10k,8426,41477873.28057825,21593177.157011814,19897322.665160898
2025-08-11 00:00:00.000 UTC,uniswap_v3_0.3_ethusdc,0.5k-1k,85,67016.801848854,32180.152503801728,34965.89708163508
2025-08-11 00:00:00.000 UTC,uniswap_v3_0.3_ethusdc,100k+,593,162319820.41275293,90064436.81240703,72549807.68996131
2025-08-11 00:00:00.000 UTC,uniswap_v3_0.3_ethusdc,10k-100k,1797,64107472.867652,25442012.999973513,38790588.89694835
2025-08-11 00:00:00.000 UTC,uniswap_v3_0.3_ethusdc,1k-10k,827,4708003.505899122,2324555.2004659064,2392173.539507058
2025-08-11 00:00:00.000 UTC,uniswap_v3_0.3_ethusdt,0.5k-1k,213,154358.63929779077,70664.76119923277,83964.64243933928
2025-08-11 00:00:00.000 UTC,uniswap_v3_0.3_ethusdt,100k+,998,276871711.8051578,141845576.17319947,135277155.98402053
2025-08-11 00:00:00.000 UTC,uniswap_v3_0.3_ethusdt,10k-100k,2600,112150410.56294876,48441098.719986975,63891595.18801699
2025-08-11 00:00:00.000 UTC,uniswap_v3_0.3_ethusdt,1k-10k,511,2309170.501450409,1187381.2048376796,1124379.2026715784
