week,venue,size_bucket,swap_count,total_volume_usd,total_eth_volume,project_contract_address
2025-07-28 00:00:00.000 UTC,uniswap_v3_0.01_ethusdt,0.5k-1k,8624,6311707.303847351,1716.2212826074428,0xc7bbec68d12a0d1830360f8ec58fa599ba1b0e9b
2025-07-28 00:00:00.000 UTC,uniswap_v3_0.01_ethusdt,100k+,1090,375936673.08078426,101532.3523574084,0xc7bbec68d12a0d1830360f8ec58fa599ba1b0e9b
2025-07-28 00:00:00.000 UTC,uniswap_v3_0.01_ethusdt,10k-100k,13455,271130784.9642598,73042.19898410671,0xc7bbec68d12a0d1830360f8ec58fa599ba1b0e9b
2025-07-28 00:00:00.000 UTC,uniswap_v3_0.01_ethusdt,1k-10k,35177,147431288.8808476,40225.89253145301,0xc7bbec68d12a0d1830360f8ec58fa599ba1b0e9b
2025-07-28 00:00:00.000 UTC,uniswap_v3_0.05_ethusdc,0.5k-1k,2699,1945655.8736601695,528.0151620472337,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640
2025-07-28 00:00:00.000 UTC,uniswap_v3_0.05_ethusdc,100k+,917,167162347.174727,45050.67292087602,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640
2025-07-28 00:00:00.000 UTC,uniswap_v3_0.05_ethusdc,10k-100k,12562,421311935.3301594,113773.87904708066,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640
2025-07-28 00:00:00.000 UTC,uniswap_v3_0.05_ethusdc,1k-10k,8248,35561383.04525335,9792.85259336235,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640
2025-07-28 00:00:00.000 UTC,uniswap_v3_0.05_ethusdt,0.5k-1k,1353,990744.9278508,270.78053416294097,0x11b815efb8f581194ae79006d24e0d814b7697f6
2025-07-28 00:00:00.000 UTC,uniswap_v3_0.05_ethusdt,100k+,1462,266779070.59762943,72274.90206993831,0x11b815efb8f581194ae79006d24e0d814b7697f6
2025-07-28 00:00:00.000 UTC,uniswap_v3_0.05_ethusdt,10k-100k,12959,476418851.24254584,128969.08413129419,0x11b815efb8f581194ae79006d24e0d814b7697f6
2025-07-28 00:00:00.000 UTC,uniswap_v3_0.05_ethusdt,1k-10k,5308,25453635.217906404,7069.7633618123455,0x11b815efb8f581194ae79006d24e0d814b7697f6
2025-07-28 00:00:00.000 UTC,uniswap_v3_0.3_ethusdc,0.5k-1k,92,66780.60297669162,18.1808445623424,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8
2025-07-28 00:00:00.000 UTC,uniswap_v3_0.3_ethusdc,100k+,27,5389412.718145306,1519.6460615283627,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8
2025-07-28 00:00:00.000 UTC,uniswap_v3_0.3_ethusdc,10k-100k,1493,37843576.20787575,10319.5757420397,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8
2025-07-28 00:00:00.000 UTC,uniswap_v3_0.3_ethusdc,1k-10k,1112,6331030.007867621,1742.8996486681733,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8
2025-07-28 00:00:00.000 UTC,uniswap_v3_0.3_ethusdt,0.5k-1k,221,154428.5623091828,41.6046032540377,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2025-07-28 00:00:00.000 UTC,uniswap_v3_0.3_ethusdt,100k+,904,205149367.36254618,55864.96133597,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2025-07-28 00:00:00.000 UTC,uniswap_v3_0.3_ethusdt,10k-100k,2216,99404342.3483566,27124.35383708163,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2025-07-28 00:00:00.000 UTC,uniswap_v3_0.3_ethusdt,1k-10k,561,2429566.8677526596,668.4433020280757,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2025-07-28 00:00:00.000 UTC,uniswap_v3_1.0_ethusdc,0.5k-1k,79,56589.40628107758,15.478379344299187,0x7bea39867e4169dbe237d55c8242a8f2fcdcc387
2025-07-28 00:00:00.000 UTC,uniswap_v3_1.0_ethusdc,1k-10k,26,33761.01203122285,9.228217632659199,0x7bea39867e4169dbe237d55c8242a8f2fcdcc387
2025-08-04 00:00:00.000 UTC,curve_usdcwbtcweth,0.5k-1k,236,188852.4447119822,43.85464791758078,0x7f86bf177dd4f3494b841a37e810a34dd56c829b
2025-08-04 00:00:00.000 UTC,curve_usdcwbtcweth,100k+,2,231297.67471637152,55.954804570478935,0x7f86bf177dd4f3494b841a37e810a34dd56c829b
2025-08-04 00:00:00.000 UTC,curve_usdcwbtcweth,10k-100k,300,5960110.427235648,1418.989364767153,0x7f86bf177dd4f3494b841a37e810a34dd56c829b
2025-08-04 00:00:00.000 UTC,curve_usdcwbtcweth,1k-10k,3422,12587621.615137307,2869.9082628842125,0x7f86bf177dd4f3494b841a37e810a34dd56c829b
2025-08-04 00:00:00.000 UTC,curve_usdt,0.5k-1k,26,19024.504582460686,4.841037110557826,0xf5f5b97624542d72a9e06f04804bf81baa15e2b4
2025-08-04 00:00:00.000 UTC,curve_usdt,10k-100k,215,4475264.859885797,1086.0416613215064,0xf5f5b97624542d72a9e06f04804bf81baa15e2b4
2025-08-04 00:00:00.000 UTC,curve_usdt,1k-10k,720,3494776.347428129,844.4038751813307,0xf5f5b97624542d72a9e06f04804bf81baa15e2b4
2025-08-04 00:00:00.000 UTC,curve_usdtwbtcweth,0.5k-1k,80,60171.17717642041,13.474800449065997,0xd51a44d3fae010294c616388b506acda1bfaae46
2025-08-04 00:00:00.000 UTC,curve_usdtwbtcweth,10k-100k,163,2670556.1761017437,595.0608935201717,0xd51a44d3fae010294c616388b506acda1bfaae46
2025-08-04 00:00:00.000 UTC,curve_usdtwbtcweth,1k-10k,3014,10353596.169854071,2412.923188197751,0xd51a44d3fae010294c616388b506acda1bfaae46
2025-08-04 00:00:00.000 UTC,sushiv2_ethusdt,0.5k-1k,265,182873.06760349713,47.68731582521247,0x06da0fd433c1a5d7a4faa01111c044910a184553
2025-08-04 00:00:00.000 UTC,sushiv2_ethusdt,10k-100k,4,101972.45185828485,28.11883092635184,0x06da0fd433c1a5d7a4faa01111c044910a184553
2025-08-04 00:00:00.000 UTC,sushiv2_ethusdt,1k-10k,105,167017.10966558394,42.854337142404376,0x06da0fd433c1a5d7a4faa01111c044910a184553
2025-08-04 00:00:00.000 UTC,sushiv2_usdceth,0.5k-1k,349,253484.05511872814,65.90640090070161,0x397ff1542f962076d0bfe58ea045ffa2d347aca0
2025-08-04 00:00:00.000 UTC,sushiv2_usdceth,10k-100k,1,11710.014954207545,3.155598270542365,0x397ff1542f962076d0bfe58ea045ffa2d347aca0
2025-08-04 00:00:00.000 UTC,sushiv2_usdceth,1k-10k,219,365478.709316545,94.13429426530134,0x397ff1542f962076d0bfe58ea045ffa2d347aca0
2025-08-04 00:00:00.000 UTC,uniswap_v3_0.01_ethusdc,0.5k-1k,9841,7145004.042100977,1856.3588529590747,0xe0554a476a092703abdb3ef35c80e0d76d32939f
2025-08-04 00:00:00.000 UTC,uniswap_v3_0.01_ethusdc,100k+,1125,454469888.89730024,116370.56134379875,0xe0554a476a092703abdb3ef35c80e0d76d32939f
