week,project_contract_address,symbol,fee_tier,tvl_usd
2022-08-01,0x06da0fd433c1a5d7a4faa01111c044910a184553,WETH-USDT,,26504579.42857143
2022-08-01,0x11b815efb8f581194ae79006d24e0d814b7697f6,WETH-USDT,0.05%,29217260.57142857
2022-08-01,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,USDC-WETH,,40987116.28571428
2022-08-01,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,WETH-USDT,0.3%,137595925.0
2022-08-01,0x7bea39867e4169dbe237d55c8242a8f2fcdcc387,USDC-WETH,1%,36471481.0
2022-08-01,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,USDC-WETH,0.05%,290292705.71428573
2022-08-01,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,USDC-WETH,0.3%,342066095.14285713
2022-08-01,0xd51a44d3fae010294c616388b506acda1bfaae46,USDT-WBTC-WETH,,133803114.0
2022-08-08,0x06da0fd433c1a5d7a4faa01111c044910a184553,WETH-USDT,,28198594.0
2022-08-08,0x11b815efb8f581194ae79006d24e0d814b7697f6,WETH-USDT,0.05%,34883461.0
2022-08-08,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,USDC-WETH,,48996724.14285714
2022-08-08,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,WETH-USDT,0.3%,135894266.2857143
2022-08-08,0x7bea39867e4169dbe237d55c8242a8f2fcdcc387,USDC-WETH,1%,38738686.571428575
2022-08-08,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,USDC-WETH,0.05%,313061992.0
2022-08-08,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,USDC-WETH,0.3%,338599981.71428573
2022-08-08,0xd51a44d3fae010294c616388b506acda1bfaae46,USDT-WBTC-WETH,,140935668.35714287
2022-08-15,0x06da0fd433c1a5d7a4faa01111c044910a184553,WETH-USDT,,26830483.85714286
2022-08-15,0x11b815efb8f581194ae79006d24e0d814b7697f6,WETH-USDT,0.05%,36058389.71428572
2022-08-15,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,USDC-WETH,,54401981.85714286
2022-08-15,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,WETH-USDT,0.3%,128962839.42857143
2022-08-15,0x7bea39867e4169dbe237d55c8242a8f2fcdcc387,USDC-WETH,1%,36044257.571428575
2022-08-15,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,USDC-WETH,0.05%,279418181.0
2022-08-15,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,USDC-WETH,0.3%,335425782.4285714
2022-08-15,0xd51a44d3fae010294c616388b506acda1bfaae46,USDT-WBTC-WETH,,134497669.42857143
2022-08-15,0xe0554a476a092703abdb3ef35c80e0d76d32939f,USDC-WETH,0.01%,57852.0
2022-08-22,0x06da0fd433c1a5d7a4faa01111c044910a184553,WETH-USDT,,24961372.285714287
2022-08-22,0x11b815efb8f581194ae79006d24e0d814b7697f6,WETH-USDT,0.05%,32704161.57142857
2022-08-22,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,USDC-WETH,,53020323.14285714
2022-08-22,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,WETH-USDT,0.3%,125129459.0
2022-08-22,0x7bea39867e4169dbe237d55c8242a8f2fcdcc387,USDC-WETH,1%,33008575.714285713
2022-08-22,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,USDC-WETH,0.05%,260558832.7142857
2022-08-22,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,USDC-WETH,0.3%,323804390.4285714
2022-08-22,0xd51a44d3fae010294c616388b506acda1bfaae46,USDT-WBTC-WETH,,136289524.92307693
2022-08-29,0x06da0fd433c1a5d7a4faa01111c044910a184553,WETH-USDT,,24656230.42857143
2022-08-29,0x11b815efb8f581194ae79006d24e0d814b7697f6,WETH-USDT,0.05%,35372848.571428575
2022-08-29,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,USDC-WETH,,52389898.71428572
2022-08-29,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,WETH-USDT,0.3%,114642143.71428572
2022-08-29,0x7bea39867e4169dbe237d55c8242a8f2fcdcc387,USDC-WETH,1%,33023700.714285713
2022-08-29,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,USDC-WETH,0.05%,301482519.4285714
2022-08-29,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,USDC-WETH,0.3%,334701238.14285713
2022-08-29,0xd51a44d3fae010294c616388b506acda1bfaae46,USDT-WBTC-WETH,,124021777.85714285
2022-09-05,0x06da0fd433c1a5d7a4faa01111c044910a184553,WETH-USDT,,22946245.85714286
2022-09-05,0x11b815efb8f581194ae79006d24e0d814b7697f6,WETH-USDT,0.05%,36548302.666666664
2022-09-05,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,USDC-WETH,,48599869.71428572
2022-09-05,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,WETH-USDT,0.3%,117583573.33333333
2022-09-05,0x7bea39867e4169dbe237d55c8242a8f2fcdcc387,USDC-WETH,1%,34125717.666666664
